Work Item Id;Revision;Revised Date;Old Board Column;New Board Column;Tempo Na Coluna
60617;8;2024-02-02T12:05:10.357Z;Definição funcional;Em desenvolvimento;0,7972252314814814
80676;12;2024-02-01T11:35:26.917Z;Desenv;Test;8,612604016203703
80677;3;2024-02-01T11:35:49.17Z;Funil;Desenv;0,009843900462962964
73384;17;2024-02-01T13:57:25.593Z;Desenv;Backlog;22,016678425925928
80688;7;2024-02-01T14:04:05.763Z;Desenv;Test;2,988707361111111
99737;4;2024-02-01T18:31:53.67Z;Funil;Analise PO;0,005303935185185185
99737;6;2024-02-01T18:31:59.337Z;Analise PO;Refinamento;6,559027777777778e-05
99737;8;2024-02-01T18:32:04.903Z;Refinamento;Backlog;6,44212962962963e-05
99737;10;2024-02-01T18:32:11.893Z;Backlog;Em Sprint;8,090277777777778e-05
100130;13;2024-02-01T19:00:45.44Z;Em Sprint;Backlog;7,041052048611111
100134;16;2024-02-01T19:00:52.453Z;Em Sprint;Backlog;7,036825497685185
100138;14;2024-02-01T19:01:26.797Z;Em Sprint;Backlog;7,040388541666666
100244;4;2024-02-01T14:53:11.717Z;Funil;Backlog;0,00016975694444444444
100244;7;2024-02-01T20:46:23.303Z;Backlog;Desenv;0,2452729861111111
100844;6;2024-02-01T13:06:13.827Z;Funil;Desenv;2,6741490046296295
100844;7;2024-02-01T13:08:17.477Z;Desenv;Entregue HML;0,0014311342592592594
100844;8;2024-02-01T21:22:38.57Z;Entregue HML;Desenv;0,3432996875
100784;3;2024-02-02T11:50:41.883Z;Funil;Refinamento;5,157407407407408e-05
100784;6;2024-02-02T11:52:15.907Z;Refinamento;Backlog;0,0010882407407407407
118763;3;2024-02-01T11:22:14.36Z;New;Active;0,0001378125
116986;11;2024-02-01T12:58:54.96Z;Desenv;Test;0,9820268171296296
118476;5;2024-02-01T12:59:12.667Z;New;Desenv;1,9730773148148149
105564;8;2024-02-01T13:34:51.743Z;Test;Resolved;90,05343417824075
112049;5;2024-02-01T13:34:55.09Z;New;Resolved;52,05136898148148
118046;2;2024-02-01T19:49:30.247Z;New;Active;7,3033732291666675
118046;10;2024-02-02T02:40:06.323Z;Closed;Resolved;2,6111111111111107e-05
